date;interest_rate
26.02.1998;24
23.04.1998;23
21.05.1998;21,5
17.07.1998;19
10.09.1998;18
29.10.1998;17
10.12.1998;15,5
21.01.1999;13
23.09.1999;14
18.11.1999;16,5
24.02.2000;17,5
31.08.2000;19
01.03.2001;18
29.03.2001;17
28.06.2001;15,5
23.08.2001;14,5
26.10.2001;13
29.11.2001;11,5
01.12.2001;11,5
31.01.2002;10
26.04.2002;9,5
30.05.2002;9
27.06.2002;8,5
29.08.2002;8
26.09.2002;7,5
24.10.2002;7
28.11.2002;6,75
30.01.2003;6,5
27.02.2003;6,25
27.03.2003;6
25.04.2003;5,75
29.05.2003;5,5
26.06.2003;5,25
01.07.2004;5,75
29.07.2004;6
26.08.2004;6,5
31.03.2005;6
28.04.2005;5,5
30.06.2005;5
28.07.2005;4,75
01.09.2005;4,5
01.02.2006;4,25
01.03.2006;4
26.04.2007;4,25
28.06.2007;4,5
30.08.2007;4,75
29.11.2007;5
31.01.2008;5,25
28.02.2008;5,5
27.03.2008;5,75
26.06.2008;6
27.11.2008;5,75
24.12.2008;5
28.01.2009;4,25
26.02.2009;4
26.03.2009;3,75
25.06.2009;3,5
01.01.2010;3,5
20.01.2011;3,75
06.04.2011;4
12.05.2011;4,25
09.06.2011;4,5
10.05.2012;4,75
08.11.2012;4,5
06.12.2012;4,25
10.01.2013;4
07.02.2013;3,75
07.03.2013;3,25
09.05.2013;3
06.06.2013;2,75
04.07.2013;2,5
09.10.2014;2
05.03.2015;1,5
18.03.2020;1
09.04.2020;0,5
29.05.2020;0,1
07.10.2021;0,5
04.11.2021;1,25
09.12.2021;1,75
05.01.2022;2,25
09.02.2022;2,75
09.03.2022;3,5
07.04.2022;4,5
06.05.2022;5,25
09.06.2022;6
08.07.2022;6,5
08.09.2022;6,75
07.09.2023;6
